Producto;CONSUMO X CAPITA;VALOR (Miles Euros);Fecha
TOTAL CARNE;3.69752224441387;1102695.7254;01/09/2018
CARNE CERTIFICADA;0.5908153672946;207484.9;01/09/2018
CARNE FRESCA;2.66622128879017;718787.596;01/09/2018
CARNE CONGELADA;0.08770103678653;16938.869;01/09/2018
CARNE TRANSFORMADA;0.94359991883715;366969.26039999997;01/09/2018
PESCADOS;1.00351028608332;346074.585;01/09/2018
PESCADOS FRESCOS;0.80268785506131;279757.185;01/09/2018
PESCADOS CONGELADOS;0.200822431022;66317.4;01/09/2018
TOTAL LECHE LIQUIDA;5.54012536882041;174428.225;01/09/2018
PAN;2.54539865109958;278566.863;01/09/2018
BOLL.PAST.GALLET.CERE;1.02061756524763;198008.68639;01/09/2018
ARROZ;0.3065464790935;23804.36;01/09/2018
TOTAL PASTAS;0.32968278248349;28800.0613;01/09/2018
LEGUMBRES;0.24967765746687;22093.384100000003;01/09/2018
TOTAL ACEITE;0.97099313852836;125311.73364;01/09/2018
TOTAL VINOS;0.56935560826371;66970.59;01/09/2018
CERVEZAS;1.59469477341746;90068.71;01/09/2018
SIDRAS;0.02149608154724;2424.564;01/09/2018
T.BEBIDAS ESPIRITUOSA;0.05048231520522;23759.54;01/09/2018
TOTAL PATATAS;2.3535540109741;92536.28;01/09/2018
T.HORTALIZAS FRESCAS;5.31667582239836;444709.075;01/09/2018
T.FRUTAS FRESCAS;8.37974037981585;551663.517;01/09/2018
BEBIDAS REFRESCANTES;3.18757328953281;131510.277;01/09/2018
T.HUEVOS KGS;0.71452081408617;74190.2755;01/10/2018
TOTAL CARNE;4.04935035342795;1220311.053;01/10/2018
CARNE CERTIFICADA;0.64239640848785;233866.1;01/10/2018
CARNE FRESCA;2.93237456356007;795775.249;01/10/2018
CARNE CONGELADA;0.08971831593302;17397.141;01/10/2018
CARNE TRANSFORMADA;1.02725747393484;407138.663;01/10/2018
PESCADOS;1.06943147645726;371641.416;01/10/2018
PESCADOS FRESCOS;0.8579295966932;299674.851;01/10/2018
PESCADOS CONGELADOS;0.21150187976405;71966.565;01/10/2018
TOTAL LECHE LIQUIDA;6.03545485820493;190534.978;01/10/2018
PAN;2.83668726277874;307824.533;01/10/2018
BOLL.PAST.GALLET.CERE;1.17607229169321;243432.19819999998;01/10/2018
ARROZ;0.34174480535226;25673.32;01/10/2018
TOTAL PASTAS;0.35636095087218;31107.3145;01/10/2018
LEGUMBRES;0.33420845845149;31382.441;01/10/2018
TOTAL ACEITE;1.05604481798425;131367.76256;01/10/2018
TOTAL VINOS;0.66779828363796;85600.74;01/10/2018
CERVEZAS;1.3836371766485;79292.08;01/10/2018
SIDRAS;0.01936656308595;2018.779;01/10/2018
T.BEBIDAS ESPIRITUOSA;0.05437615470089;26325.32;01/10/2018
TOTAL PATATAS;2.60401795504621;103351.074;01/10/2018
T.HORTALIZAS FRESCAS;4.98660394523058;425496.433;01/10/2018
T.FRUTAS FRESCAS;7.73032005131184;586426.383;01/10/2018
BEBIDAS REFRESCANTES;2.96550868395347;119003.7468;01/10/2018
T.HUEVOS KGS;0.69884130898516;73375.21429999999;01/11/2018
TOTAL CARNE;4.06294723544948;1239470.9168;01/11/2018
CARNE CERTIFICADA;0.69658522008628;255772;01/11/2018
CARNE FRESCA;2.9368853379829;809530.98;01/11/2018
CARNE CONGELADA;0.09828205643992;21353.354;01/11/2018
CARNE TRANSFORMADA;1.02777984102665;408586.58280000003;01/11/2018
PESCADOS;1.03173904571194;368234.251;01/11/2018
PESCADOS FRESCOS;0.83601964664283;300033.767;01/11/2018
PESCADOS CONGELADOS;0.19571939906911;68200.484;01/11/2018
TOTAL LECHE LIQUIDA;5.88223519628729;184670.1878;01/11/2018
PAN;2.65923725232139;291876.239;01/11/2018
BOLL.PAST.GALLET.CERE;1.25714641740234;281882.8667;01/11/2018
ARROZ;0.32052741557079;24277.94;01/11/2018
TOTAL PASTAS;0.36040986724221;31384.1735;01/11/2018
LEGUMBRES;0.30643821936783;27447.872199999998;01/11/2018
TOTAL ACEITE;0.98866633056189;120559.40869;01/11/2018
TOTAL VINOS;0.67516665944499;93731.25;01/11/2018
CERVEZAS;1.30459517355883;75469.63;01/11/2018
SIDRAS;0.0284028491215;3138.692;01/11/2018
T.BEBIDAS ESPIRITUOSA;0.05453590803075;26540.62;01/11/2018
TOTAL PATATAS;2.25283742554865;91068.851;01/11/2018
T.HORTALIZAS FRESCAS;4.33932362105457;379194.592;01/11/2018
T.FRUTAS FRESCAS;6.95997556834075;498882.17010000005;01/11/2018
BEBIDAS REFRESCANTES;2.66263550586989;104421.701;01/11/2018
T.HUEVOS KGS;0.71530127813177;75145.205;01/12/2018
TOTAL CARNE;4.51475338958763;1556688.3198;01/12/2018
CARNE CERTIFICADA;0.88619116601804;369372.8;01/12/2018
CARNE FRESCA;3.220017393877;991017.23;01/12/2018
CARNE CONGELADA;0.10380709796069;26618.437;01/12/2018
CARNE TRANSFORMADA;1.19092889774993;539052.6527999999;01/12/2018
PESCADOS;1.00106342168635;387318.9;01/12/2018
PESCADOS FRESCOS;0.78103750526767;311272.864;01/12/2018
PESCADOS CONGELADOS;0.22002591641868;76046.036;01/12/2018
TOTAL LECHE LIQUIDA;5.89235994158451;185998.09569999998;01/12/2018
PAN;2.68770330152565;299014.798;01/12/2018
BOLL.PAST.GALLET.CERE;1.48614078539326;395730.918;01/12/2018
ARROZ;0.32076123834578;23675.48;01/12/2018
TOTAL PASTAS;0.36618240151426;32043.253699999997;01/12/2018
LEGUMBRES;0.27423198838922;24675.2618;01/12/2018
TOTAL ACEITE;1.02950369603855;124728.8147;01/12/2018
TOTAL VINOS;1.02363622533705;186860.2;01/12/2018
CERVEZAS;1.53369332599079;92284.2;01/12/2018
SIDRAS;0.12631704557901;12772.65;01/12/2018
T.BEBIDAS ESPIRITUOSA;0.12441560841501;66888.69;01/12/2018
TOTAL PATATAS;2.43844101367344;102110.23;01/12/2018
T.HORTALIZAS FRESCAS;4.15926461300596;365492.015;01/12/2018
T.FRUTAS FRESCAS;6.46207662962758;450714.2794;01/12/2018
BEBIDAS REFRESCANTES;3.33386625086813;133469.672;01/12/2018
T.HUEVOS KGS;0.69641591769301;74483.6303;01/01/2019
TOTAL CARNE;4.05963964431543;1233305.109;01/01/2019
CARNE CERTIFICADA;0.69415132129364;263716;01/01/2019
CARNE FRESCA;3.03428924970435;849344.31;01/01/2019
CARNE CONGELADA;0.09479390801082;18459.24;01/01/2019
CARNE TRANSFORMADA;0.93055648660024;365501.559;01/01/2019
PESCADOS;1.0365141552869;386916.345;01/01/2019
PESCADOS FRESCOS;0.83159911416654;312272.796;01/01/2019
PESCADOS CONGELADOS;0.20491504112035;74643.549;01/01/2019
TOTAL LECHE LIQUIDA;6.43408380193752;204988.6683;01/01/2019
PAN;2.76326125540887;308641.06;01/01/2019
BOLL.PAST.GALLET.CERE;1.16726117223338;249310.132;01/01/2019
ARROZ;0.34655109469941;26415.5;01/01/2019
TOTAL PASTAS;0.3920158465154;34123.70442;01/01/2019
LEGUMBRES;0.34764485426715;31504.5155;01/01/2019
TOTAL ACEITE;0.96688349538956;116856.251;01/01/2019
TOTAL VINOS;0.62113833236431;79741.09;01/01/2019
CERVEZAS;1.18467112837605;71094.3;01/01/2019
SIDRAS;0.01972974156274;1919.633;01/01/2019
T.BEBIDAS ESPIRITUOSA;0.0539947795014;26174.44;01/01/2019
TOTAL PATATAS;2.37329910354824;98564.746;01/01/2019
T.HORTALIZAS FRESCAS;4.60674099035869;407802.471;01/01/2019
T.FRUTAS FRESCAS;6.94921351149698;474026.6437;01/01/2019
BEBIDAS REFRESCANTES;2.61173675539185;106112.912;01/01/2019
T.HUEVOS KGS;0.64922265874811;70164.4933;01/02/2019
TOTAL CARNE;3.66473643679462;1106672.7594;01/02/2019
CARNE CERTIFICADA;0.58632011854957;213309.6;01/02/2019
CARNE FRESCA;2.69942192650086;745058.174;01/02/2019
CARNE CONGELADA;0.07218726640855;14734.687;01/02/2019
CARNE TRANSFORMADA;0.89312724388519;346879.89839999995;01/02/2019
PESCADOS;0.99511852624205;360711.805;01/02/2019
PESCADOS FRESCOS;0.8135227147117;295283.173;01/02/2019
